指导学生查找毕设相关资料文献，指出毕设的研究内容和方向,2026年01月09日（第18周）
沟通设计的实现原理,2026年1月16日（第19周）
沟通课题实现思路，解答学生的疑惑，设计过程中的每项任务，划分节点,2026年1月23日（第20周）
沟通课题需要的硬件，指导硬件使用和购买。,2026年03月06日（第1周）
沟通课题进展情况，包括硬件的购买情况，器件选型的问题，指导部分硬件的使用。,2026年03月13日（第2周）
沟通软硬件的使用情况，解答学生的疑问，指导设计整体的软件逻辑。,2026年03月20日（第3周）
沟通部分软件的使用方法，如硬件原理图绘制、电路仿真、PCB绘制等。,2026年03月27日（第4周）
沟通Keil、VScode等编程软件的使用，对硬件电路绘制和软件编程等技术问题答疑解惑,2026年04月03日（第5周）
沟通硬件电路存在的问题，指导电路绘制，对学生问题进行答疑,2026年04月10日（第6周）
沟通软件使用存在的问题，对学生遇到的问题进行答疑,2026年04月17日（第7周）
沟通遇到的问题，指导仿真软件的使用,2026年04月24日（第8周）
沟通功能的逻辑漏洞，指导模块调试的流程,2026年04月30日（第9周）
指导功能修改，完善逻辑,2026年05月08日（第10周）
指导软硬件联合调试的步骤,2026年05月16日（第11周）
沟通遇到的问题，指导纠错调试过程,2026年05月15日（第12周）
指导论文撰写规范，章节划分,2026年05月22日（第13周）
指导图片格式修改、流程图逻辑修改，功能完善,2026年05月29日（第14周）
指导答辩流程，PPT制作和功能演示,2026年06月05日（第15周）
